,Car_Name,Year,Selling_Price,Driven_kms,Fuel_Type,Owner
0,ritz,2014,3.35,27000,Petrol,0
1,sx4,2013,4.75,43000,Diesel,0
2,ciaz,2017,7.25,6900,Petrol,0
3,wagon r,2011,2.85,5200,Petrol,0
4,swift,2014,4.6,42450,Diesel,0
5,vitara brezza,2018,9.25,2071,Diesel,0
6,ciaz,2015,6.75,18796,Petrol,0
7,s cross,2015,6.5,33429,Diesel,0
8,ciaz,2016,8.75,20273,Diesel,0
9,ciaz,2015,7.45,42367,Diesel,0
10,alto 800,2017,2.85,2135,Petrol,0
11,ciaz,2015,6.85,51000,Diesel,0
12,ciaz,2015,7.5,15000,Petrol,0
13,ertiga,2015,6.1,26000,Petrol,0
14,dzire,2009,2.25,77427,Petrol,0
15,ertiga,2016,7.75,43000,Diesel,0
16,ertiga,2015,7.25,41678,Diesel,0
17,ertiga,2016,7.75,43000,Diesel,0
18,wagon r,2015,3.25,35500,CNG,0
19,sx4,2010,2.65,41442,Petrol,0
20,alto k10,2016,2.85,25000,Petrol,0
21,ignis,2017,4.9,2400,Petrol,0
22,sx4,2011,4.4,50000,Petrol,0
23,alto k10,2014,2.5,45280,Petrol,0
24,wagon r,2013,2.9,56879,Petrol,0
25,swift,2011,3.0,20000,Petrol,0
26,swift,2013,4.15,55138,Petrol,0
27,swift,2017,6.0,16200,Petrol,0
28,alto k10,2010,1.95,44542,Petrol,0
29,ciaz,2015,7.45,45000,Diesel,0
30,ritz,2012,3.1,51439,Diesel,0
31,ritz,2011,2.35,54200,Petrol,0
32,swift,2014,4.95,39000,Diesel,0
33,ertiga,2014,6.0,45000,Diesel,0
34,dzire,2014,5.5,45000,Diesel,0
35,sx4,2011,2.95,49998,CNG,0
36,dzire,2015,4.65,48767,Petrol,0
37,800,2003,0.35,127000,Petrol,0
38,alto k10,2016,3.0,10079,Petrol,0
39,sx4,2003,2.25,62000,Petrol,0
40,baleno,2016,5.85,24524,Petrol,0
41,alto k10,2014,2.55,46706,Petrol,0
42,sx4,2008,1.95,58000,Petrol,0
43,dzire,2014,5.5,45780,Diesel,0
44,omni,2012,1.25,50000,Petrol,0
45,ciaz,2014,7.5,15000,Petrol,0
46,ritz,2013,2.65,64532,Petrol,0
47,wagon r,2006,1.05,65000,Petrol,0
48,ertiga,2015,5.8,25870,Petrol,0
49,ciaz,2017,7.75,37000,Petrol,0
50,fortuner,2012,14.9,104707,Diesel,0
51,fortuner,2015,23.0,40000,Diesel,0
52,innova,2017,18.0,15000,Diesel,0
53,fortuner,2013,16.0,135000,Diesel,0
54,innova,2005,2.75,90000,Petrol,0
55,corolla altis,2009,3.6,70000,Petrol,0
56,etios cross,2015,4.5,40534,Petrol,0
57,corolla altis,2010,4.75,50000,Petrol,0
58,etios g,2014,4.1,39485,Petrol,1
59,fortuner,2014,19.99,41000,Diesel,0
60,corolla altis,2013,6.95,40001,Petrol,0
61,etios cross,2015,4.5,40588,Petrol,0
62,fortuner,2014,18.75,78000,Diesel,0
63,fortuner,2015,23.5,47000,Diesel,0
64,fortuner,2017,33.0,6000,Diesel,0
65,etios liva,2014,4.75,45000,Diesel,0
66,innova,2017,19.75,11000,Petrol,0
67,fortuner,2010,9.25,59000,Diesel,0
68,corolla altis,2011,4.35,88000,Petrol,0
69,corolla altis,2016,14.25,12000,Petrol,0
70,etios liva,2014,3.95,71000,Diesel,0
71,corolla altis,2011,4.5,45000,Diesel,0
72,corolla altis,2013,7.45,56001,Petrol,0
73,etios liva,2011,2.65,43000,Petrol,0
74,etios cross,2014,4.9,83000,Diesel,0
75,etios g,2015,3.95,36000,Petrol,0
76,corolla altis,2013,5.5,72000,Petrol,0
77,corolla,2004,1.5,135154,Petrol,0
78,corolla altis,2010,5.25,80000,Petrol,0
79,fortuner,2012,14.5,89000,Diesel,0
80,corolla altis,2016,14.73,23000,Diesel,0
81,etios gd,2015,4.75,40000,Diesel,0
82,innova,2017,23.0,15000,Diesel,0
83,innova,2015,12.5,38000,Diesel,0
84,innova,2005,3.49,197176,Diesel,0
85,camry,2006,2.5,142000,Petrol,3
86,land cruiser,2010,35.0,78000,Diesel,0
87,corolla altis,2012,5.9,56000,Petrol,0
88,etios liva,2013,3.45,47000,Petrol,0
89,etios g,2014,4.75,40000,Petrol,0
90,corolla altis,2009,3.8,62000,Petrol,0
91,innova,2014,11.25,58242,Diesel,0
92,innova,2005,3.51,75000,Petrol,0
93,fortuner,2015,23.0,40000,Diesel,0
94,corolla altis,2008,4.0,89000,Petrol,0
95,corolla altis,2012,5.85,72000,Petrol,0
96,innova,2016,20.75,29000,Diesel,0
97,corolla altis,2017,17.0,8700,Petrol,0
98,corolla altis,2013,7.05,45000,Petrol,0
99,fortuner,2010,9.65,50024,Diesel,0
100,Royal Enfield Thunder,2016,1.75,3000,Petrol,0
101,UM Renegade Mojave,2017,1.7,1400,Petrol,0
102,KTM RC200,2017,1.65,4000,Petrol,0
103,Bajaj Dominar 400,2017,1.45,1200,Petrol,0
104,Royal Enfield Classic,2017,1.35,4100,Petrol,0
105,KTM RC390,2015,1.35,21700,Petrol,0
106,Hyosung GT250R,2014,1.35,16500,Petrol,1
107,Royal Enfield Thunder,2013,1.25,15000,Petrol,0
108,Royal Enfield Thunder,2016,1.2,18000,Petrol,0
109,Royal Enfield Classic,2017,1.2,11000,Petrol,0
110,KTM RC200,2016,1.2,6000,Petrol,0
111,Royal Enfield Thunder,2016,1.15,8700,Petrol,0
112,KTM 390 Duke,2014,1.15,7000,Petrol,0
113,Mahindra Mojo XT300,2016,1.15,35000,Petrol,0
114,Royal Enfield Classic,2015,1.15,17000,Petrol,0
115,Royal Enfield Classic,2015,1.11,17500,Petrol,0
116,Royal Enfield Classic,2013,1.1,33000,Petrol,0
117,Royal Enfield Thunder,2015,1.1,14000,Petrol,0
118,Royal Enfield Classic,2015,1.1,26000,Petrol,0
119,Royal Enfield Thunder,2013,1.05,5400,Petrol,0
120,Bajaj Pulsar RS200,2016,1.05,5700,Petrol,0
121,Royal Enfield Thunder,2011,1.05,6900,Petrol,0
122,Royal Enfield Bullet,2016,1.05,6000,Petrol,0
123,Royal Enfield Classic,2013,1.0,46500,Petrol,0
124,Royal Enfield Classic,2012,0.95,11500,Petrol,0
125,Royal Enfield Classic,2009,0.9,40000,Petrol,0
126,Bajaj Avenger 220,2017,0.9,1300,Petrol,0
127,Bajaj Avenger 150,2016,0.75,7000,Petrol,0
128,Honda CB Hornet,2017,0.8,3000,Petrol,0
129,Yamaha FZ S,2017,0.78,5000,Petrol,0
130,Honda CB Hornet,2017,0.75,11000,Petrol,0
131,Yamaha FZ 16,2015,0.75,18000,Petrol,0
132,Bajaj Avenger 220,2017,0.75,3500,Petrol,0
133,Bajaj Avenger 220,2016,0.72,500,Petrol,0
134,TVS Apache RTR,2017,0.65,11800,Petrol,0
135,Bajaj Pulsar 150,2015,0.65,5000,Petrol,0
136,Honda CBR 150,2014,0.65,23500,Petrol,0
137,Hero Extreme,2013,0.65,16000,Petrol,0
138,Honda CB Hornet,2016,0.6,15000,Petrol,0
139,Bajaj Avenger 220,2015,0.6,16600,Petrol,0
140,Honda CBR 150,2013,0.6,32000,Petrol,0
141,Bajaj Avenger 150,2016,0.6,20000,Petrol,0
142,Yamaha FZ ,2015,0.6,29000,Petrol,0
143,Yamaha FZ ,2016,0.6,25000,Petrol,0
144,Bajaj Pulsar ,2014,0.6,25000,Petrol,0
145,TVS Apache RTR,2012,0.6,19000,Petrol,0
146,Hero Extreme,2014,0.55,15000,Petrol,0
147,Yamaha FZ S,2015,0.55,58000,Petrol,0
148,Bajaj Pulsar 220,2010,0.52,45000,Petrol,0
149,Bajaj Pulsar 220,2016,0.51,24000,Petrol,0
150,TVS Apache RTR,2011,0.5,6000,Petrol,0
151,Hero Passion X,2016,0.5,31000,Petrol,0
152,Bajaj Pulsar NS,2012,0.5,13000,Petrol,0
153,Bajaj Pulsar NS,2013,0.5,45000,Petrol,0
154,Yamaha Fazer ,2014,0.5,8000,Petrol,0
155,Honda Activa 4G,2017,0.48,4300,Petrol,0
156,TVS Sport ,2017,0.48,15000,Petrol,0
157,Yamaha FZ S,2015,0.48,23000,Petrol,0
158,Honda Dream Yuga,2017,0.48,8600,Petrol,0
159,Honda Activa 4G,2017,0.45,4000,Petrol,0
160,Bajaj Avenger Street,2011,0.45,24000,Petrol,0
161,TVS Apache RTR,2014,0.45,23000,Petrol,0
162,Bajaj Pulsar NS,2012,0.45,14500,Petrol,0
163,Bajaj Avenger 220,2010,0.45,27000,Petrol,0
164,Hero Splender iSmart,2016,0.45,14000,Petrol,0
165,Activa 3g,2016,0.45,500,Petrol,0
166,Hero Passion Pro,2016,0.45,1000,Petrol,0
167,TVS Apache RTR,2014,0.42,42000,Petrol,0
168,Honda CB Trigger,2013,0.42,12000,Petrol,0
169,Hero Splender iSmart,2015,0.4,14000,Petrol,0
170,Yamaha FZ S,2012,0.4,5500,Petrol,0
171,Hero Passion Pro,2015,0.4,6700,Petrol,0
172,Bajaj Pulsar 135,2014,0.4,13700,Petrol,0
173,Activa 4g,2017,0.4,1300,Petrol,0
174,Honda CB Unicorn,2015,0.38,38600,Petrol,0
175,Hero Honda CBZ,2011,0.38,75000,Petrol,0
176,Honda Karizma,2011,0.35,30000,Petrol,0
177,Honda Activa 125,2016,0.35,24000,Petrol,0
178,TVS Jupyter,2014,0.35,19000,Petrol,0
179,Honda Karizma,2010,0.31,213000,Petrol,0
180,Hero Honda Passion,2012,0.3,60000,Petrol,0
181,Hero Splender Plus,2016,0.3,50000,Petrol,0
182,Honda CB Shine,2013,0.3,30000,Petrol,0
183,Bajaj Discover 100,2013,0.27,21000,Petrol,0
184,Bajaj Pulsar 150,2008,0.25,26000,Petrol,1
185,Suzuki Access 125,2008,0.25,1900,Petrol,0
186,TVS Wego,2010,0.25,22000,Petrol,0
187,Honda CB twister,2013,0.25,32000,Petrol,0
188,Hero Glamour,2013,0.25,18000,Petrol,0
189,Hero Super Splendor,2005,0.2,55000,Petrol,0
190,Bajaj Pulsar 150,2008,0.2,60000,Petrol,0
191,Bajaj Discover 125,2012,0.2,25000,Petrol,1
192,Hero Hunk,2007,0.2,49000,Petrol,1
193,Hero  Ignitor,2013,0.2,24000,Petrol,1
194,Hero  CBZ,2008,0.2,50000,Petrol,0
195,Bajaj  ct,2015,0.18,35000,Petrol,0
196,Activa 3g,2008,0.17,500000,Petrol,0
197,Honda CB twister,2010,0.16,33000,Petrol,0
198,Bajaj Discover 125,2011,0.15,35000,Petrol,1
199,Honda CB Shine,2007,0.12,53000,Petrol,0
200,Bajaj Pulsar 150,2006,0.1,92233,Petrol,0
201,i20,2010,3.25,58000,Diesel,1
202,grand i10,2015,4.4,28200,Petrol,0
203,i10,2011,2.95,53460,Petrol,0
204,eon,2015,2.75,28282,Petrol,0
205,grand i10,2016,5.25,3493,Petrol,1
206,xcent,2017,5.75,12479,Petrol,0
207,grand i10,2015,5.15,34797,Petrol,0
208,i20,2017,7.9,3435,Petrol,0
209,grand i10,2015,4.85,21125,Diesel,0
210,i10,2012,3.1,35775,Petrol,0
211,elantra,2015,11.75,43535,Diesel,0
212,creta,2016,11.25,22671,Petrol,0
213,i20,2011,2.9,31604,Petrol,0
214,grand i10,2017,5.25,20114,Petrol,0
215,verna,2012,4.5,36100,Petrol,0
216,eon,2016,2.9,12500,Petrol,0
217,eon,2016,3.15,15000,Petrol,0
218,verna,2014,6.45,45078,Petrol,0
219,verna,2012,4.5,36000,Petrol,0
220,eon,2017,3.5,38488,Petrol,0
221,i20,2013,4.5,32000,Petrol,0
222,i20,2014,6.0,77632,Diesel,0
223,verna,2015,8.25,61381,Diesel,0
224,verna,2013,5.11,36198,Petrol,0
225,i10,2011,2.7,22517,Petrol,0
226,grand i10,2015,5.25,24678,Petrol,0
227,i10,2011,2.55,57000,Petrol,0
228,verna,2012,4.95,60000,Diesel,0
229,i20,2012,3.1,52132,Diesel,0
230,verna,2013,6.15,45000,Diesel,0
231,verna,2017,9.25,15001,Petrol,0
232,elantra,2015,11.45,12900,Petrol,0
233,grand i10,2013,3.9,53000,Diesel,0
234,grand i10,2015,5.5,4492,Petrol,0
235,verna,2017,9.1,15141,Petrol,0
236,eon,2016,3.1,11849,Petrol,0
237,creta,2015,11.25,68000,Diesel,0
238,verna,2013,4.8,60241,Petrol,0
239,eon,2012,2.0,23709,Petrol,0
240,verna,2012,5.35,32322,Diesel,0
241,xcent,2015,4.75,35866,Petrol,1
242,xcent,2014,4.4,34000,Petrol,0
243,i20,2016,6.25,7000,Petrol,0
244,verna,2013,5.95,49000,Diesel,0
245,verna,2012,5.2,71000,Diesel,0
246,i20,2012,3.75,35000,Petrol,0
247,verna,2015,5.95,36000,Petrol,0
248,i10,2013,4.0,30000,Petrol,0
249,i20,2016,5.25,17000,Petrol,0
250,creta,2016,12.9,35934,Diesel,0
251,city,2013,5.0,56701,Petrol,0
252,brio,2015,5.4,31427,Petrol,0
253,city,2014,7.2,48000,Diesel,0
254,city,2013,5.25,54242,Petrol,0
255,brio,2012,3.0,53675,Petrol,0
256,city,2016,10.25,49562,Petrol,0
257,city,2015,8.5,40324,Petrol,0
258,city,2015,8.4,25000,Petrol,0
259,amaze,2014,3.9,36054,Petrol,0
260,city,2016,9.15,29223,Petrol,0
261,brio,2016,5.5,5600,Petrol,0
262,amaze,2015,4.0,40023,Petrol,0
263,jazz,2016,6.6,16002,Petrol,0
264,amaze,2015,4.0,40026,Petrol,0
265,jazz,2017,6.5,21200,Petrol,0
266,amaze,2014,3.65,35000,Petrol,0
267,city,2016,8.35,19434,Diesel,0
268,brio,2017,4.8,19000,Petrol,0
269,city,2015,6.7,18828,Petrol,0
270,city,2011,4.1,69341,Petrol,0
271,city,2009,3.0,69562,Petrol,0
272,city,2015,7.5,27600,Petrol,0
273,jazz,2010,2.25,61203,Petrol,0
274,brio,2014,5.3,16500,Petrol,0
275,city,2016,10.9,30753,Petrol,0
276,city,2015,8.65,24800,Petrol,0
277,city,2015,9.7,21780,Petrol,0
278,jazz,2016,6.0,4000,Petrol,0
279,city,2014,6.25,40126,Petrol,0
280,brio,2015,5.25,14465,Petrol,0
281,city,2006,2.1,50456,Petrol,0
282,city,2014,8.25,63000,Diesel,0
283,city,2016,8.99,9010,Petrol,0
284,brio,2013,3.5,9800,Petrol,0
285,jazz,2016,7.4,15059,Petrol,0
286,jazz,2016,5.65,28569,Petrol,0
287,amaze,2015,5.75,44000,Petrol,0
288,city,2015,8.4,34000,Petrol,0
289,city,2016,10.11,10980,Petrol,0
290,amaze,2014,4.5,19000,Petrol,0
291,brio,2015,5.4,31427,Petrol,0
292,jazz,2016,6.4,12000,Petrol,0
293,city,2010,3.25,38000,Petrol,0
294,amaze,2014,3.75,33019,Petrol,0
295,city,2015,8.55,60076,Diesel,0
296,city,2016,9.5,33988,Diesel,0
297,brio,2015,4.0,60000,Petrol,0
298,city,2009,3.35,87934,Petrol,0
299,city,2017,11.5,9000,Diesel,0
300,brio,2016,5.3,5464,Petrol,0
